id,value
id_0,6.675990980112423
id_1,18.071674932253497
id_2,24.038225880811613
id_3,7.772257990398251
id_4,27.02666876933244
id_5,22.28559302807508
id_6,23.89889844954017
id_7,30.41920510163969
id_8,16.86218519402351
id_9,59.60706265479261
id_10,11.721145798998077
id_11,9.26896616337624
id_12,63.277172907766975
id_13,53.28392517194697
id_14,22.196853423304336
id_15,12.170905086948878
id_16,32.54140828422534
id_17,66.68114491778044
id_18,-0.4288923754744491
id_19,17.08174420079968
id_20,41.78232474057129
id_21,72.12298475750184
id_22,9.288776353342515
id_23,17.79839755885693
id_24,14.717265726180063
id_25,37.71078647347016
id_26,14.568564764635115
id_27,69.34780229867515
id_28,7.2696073766350695
id_29,55.42394068387627
id_30,24.464710738827392
id_31,8.490068429392881
id_32,2.485893898490215
id_33,18.619693900032058
id_34,27.691273398187768
id_35,37.17228305069151
id_36,43.23163096413015
id_37,29.72257652789275
id_38,42.20513414713093
id_39,35.27689671057871
id_40,7.52903844809119
id_41,41.19750582646517
id_42,30.61195072801798
id_43,50.99605432471339
id_44,17.44619913084199
id_45,35.47033188911322
id_46,24.558823259352042
id_47,9.64746377383183
id_48,26.85874925080994
id_49,32.30739730741674
id_50,20.207634375708377
id_51,7.941271003065542
id_52,20.664554610051052
id_53,52.69741229764856
id_54,15.837234674098294
id_55,36.493102058495495
id_56,32.84657700143866
id_57,20.760643421271478
id_58,57.376018314382854
id_59,22.775212743545968
id_60,14.374928929455061
id_61,41.98211448793669
id_62,12.643293573849538
id_63,48.441286039702085
id_64,14.297373114438122
id_65,15.198204494865466
id_66,14.426998517247503
id_67,-0.9687989392466345
id_68,43.749998189752574
id_69,29.07007894547105
id_70,20.11956285306207
id_71,41.73421439947324
id_72,60.80197892932576
id_73,5.434855387807278
id_74,16.50443532512978
id_75,3.4317719804385374
id_76,40.3519741400174
id_77,13.969001792580213
id_78,21.545292877819875
id_79,21.06772030045305
id_80,24.013458632096782
id_81,35.98750243526749
id_82,21.777359007694038
id_83,92.46248040626944
id_84,37.1947985067851
id_85,27.924935543580972
id_86,21.882664918389075
id_87,33.65184145576268
id_88,23.310296325641808
id_89,19.817301613199355
id_90,28.990583581941042
id_91,41.5239902778518
id_92,4.688961198893164
id_93,38.8632448715843
id_94,45.97987341772339
id_95,16.425131925435004
id_96,31.625928128633383
id_97,12.97241219230778
id_98,23.400939245274856
id_99,4.618884390268243
id_100,18.25161987733905
id_101,26.38494976978559
id_102,14.097297145963909
id_103,15.823784915170599
id_104,23.91525389092727
id_105,39.68916896139936
id_106,31.420622440037455
id_107,6.439159733025349
id_108,6.021110373706255
id_109,78.55940765643636
id_110,47.96702008535681
id_111,16.994577067671326
id_112,27.685760065694463
id_113,15.327011008843304
id_114,13.730792031904393
id_115,24.948007372058154
id_116,26.49640386909676
id_117,10.628483913726708
id_118,18.25908218593064
id_119,19.468046411896683
id_120,80.74227553764433
id_121,25.6347472865463
id_122,37.12347181345241
id_123,25.21346995023522
id_124,7.386137559727597
id_125,38.63270627171894
id_126,9.159363242397525
id_127,21.93910786860837
id_128,29.104736028718346
id_129,62.8222771817267
id_130,21.862339456735707
id_131,23.190866138878057
id_132,59.29094070659771
id_133,15.230423653691552
id_134,14.203591508495284
id_135,2.7899656307732887
id_136,12.487508082471743
id_137,58.72960444449888
id_138,20.332270090399156
id_139,5.42902976668681
id_140,28.937119375140686
id_141,25.39703355498
id_142,45.195258049648295
id_143,30.5967286252398
id_144,18.34124782207749
id_145,26.0576342734762
id_146,11.960252942213666
id_147,51.86591635762687
id_148,23.597644547482073
id_149,38.289439934532474
id_150,10.198276504018361
id_151,8.20730264156503
id_152,23.493800640198184
id_153,6.352634098134871
id_154,14.995011987019952
id_155,41.10250636575149
id_156,7.915236380314527
id_157,36.27517866494531
id_158,10.964539776681999
id_159,18.750342020820526
id_160,41.458356021632866
id_161,19.304422547952917
id_162,13.240868259257928
id_163,7.868545739014708
id_164,52.637104181316545
id_165,31.21027490840192
id_166,-0.3187681123464259
id_167,16.352832212505934
id_168,63.58111752799615
id_169,14.256117202215908
id_170,63.72129953031235
id_171,39.14503265390574
id_172,26.96883155044522
id_173,20.34410508764566
id_174,61.00534716752537
id_175,25.070415771056986
id_176,20.997035892477918
id_177,37.55257029595637
id_178,12.488920419539921
id_179,31.164649935545395
id_180,16.71525760258725
id_181,11.769337686704205
id_182,55.81332405864327
id_183,46.44603641872939
id_184,15.516041906827041
id_185,35.160133449412314
id_186,26.190474213597692
id_187,69.32526290194843
id_188,9.93506068564961
id_189,57.936559880209415
id_190,38.258962624113025
id_191,15.336431076619949
id_192,29.200068841390436
